Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Bench Press (Barbell)",1,135.0,14,0,0,"","",7.5
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Bench Press (Barbell)",2,135.0,14,0,0,,,8
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Bench Press (Barbell)",3,145.0,10,0,0,,,8
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Bench Press (Barbell)",4,145.0,10,0,0,,,8.5
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Bench Press (Barbell)",5,145.0,9,0,0,,,9
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Triceps Rope Pushdown",1,40.0,13,0,0,"",,8
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Triceps Rope Pushdown",2,40.0,14,0,0,,,8
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Triceps Rope Pushdown",3,40.0,14,0,0,,,8
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Triceps Rope Pushdown",4,45.0,12,0,0,,,10
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Incline Bench Press (Barbell)",1,105.0,13,0,0,"",,8
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Incline Bench Press (Barbell)",2,105.0,13,0,0,,,8.5
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Incline Bench Press (Barbell)",3,105.0,11,0,0,,,8.5
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Incline Bench Press (Barbell)",4,105.0,10,0,0,,,9
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Reverse Grip Triceps Pushdown (EZ Bar)",1,20.0,12,0,0,"",,8
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Reverse Grip Triceps Pushdown (EZ Bar)",2,20.0,11,0,0,,,8
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Reverse Grip Triceps Pushdown (EZ Bar)",3,20.0,11,0,0,,,9
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Reverse Grip Triceps Pushdown (EZ Bar)",4,20.0,12,0,0,,,9.5
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"High To Low Chest Cable Fly ",1,25.000000000000004,12,0,0,"",,8
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"High To Low Chest Cable Fly ",2,25.000000000000004,13,0,0,,,8.5
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"High To Low Chest Cable Fly ",3,25.000000000000004,13,0,0,,,10
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"High To Low Chest Cable Fly ",4,25.000000000000004,11,0,0,,,10
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Bench Dip",1,15.0,19,0,0,"",,8
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Bench Dip",2,15.0,19,0,0,,,8
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Bench Dip",3,15.0,18,0,0,,,9
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Push Up",1,0,15,0,0,"",,
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Push Up",2,0,13,0,0,,,
2024-06-24 13:58:13,"Chest / Tris (V1)",1h 24m,"Push Up",3,0,13,0,0,,,
2024-07-05 10:35:53,"Chest (PF)",1h 48m,"Chest Press (Machine)",1,110.0,14,0,0,"","",7.5
2024-07-05 10:35:53,"Chest (PF)",1h 48m,"Chest Press (Machine)",2,110.0,15,0,0,,,7.5
2024-07-05 10:35:53,"Chest (PF)",1h 48m,"Chest Press (Machine)",3,130.0,11,0,0,,,8
2024-07-05 10:35:53,"Chest (PF)",1h 48m,"Chest Press (Machine)",4,130.0,12,0,0,,,9
2024-07-05 10:35:53,"Chest (PF)",1h 48m,"Chest Press (Machine)",5,149.99999999999997,7,0,0,,,9.5
2024-07-05 10:35:53,"Chest (PF)",1h 48m,"Triceps Rope Pushdown",1,45.0,10,0,0,"",,8
2024-07-05 10:35:53,"Chest (PF)",1h 48m,"Triceps Rope Pushdown",2,40.0,12,0,0,,,8.5
